,killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,total_kill,hurts,coins,jumps,target,silhouette
198,3,0,-3,-3,-10,10,0.029850746268656716,0.0,0.29090909090909095,0.32500000000000007,3,0.7639280587225081
199,3,0,-3,-1,-10,10,0.05970149253731343,0.0,0.3090909090909091,0.3416666666666667,3,0.7534847989372776
200,3,0,-3,0,-10,10,0.38805970149253727,0.47692307692307695,0.32727272727272727,0.30833333333333324,2,0.679478026550047
201,3,0,-1,-3,-10,10,0.014925373134328358,0.0,0.4545454545454546,0.475,6,0.8195585234844011
202,3,0,-1,-1,-10,10,0.029850746268656716,0.0,0.38181818181818183,0.45000000000000007,6,0.7737182897139767
203,3,0,-1,0,-10,10,0.3731343283582089,0.49230769230769234,0.29090909090909095,0.2416666666666667,2,0.706859330597684
204,3,0,0,-3,-10,10,0.05970149253731343,0.18461538461538463,0.12727272727272726,0.30833333333333324,3,0.790849911618385
205,3,0,0,-1,-10,10,0.05970149253731343,0.18461538461538463,0.12727272727272726,0.30833333333333324,3,0.790849911618385
206,3,0,0,0,-10,10,0.0,0.2153846153846154,0.07272727272727274,0.07500000000000007,3,0.7140377605250142
207,3,1,-3,-3,-10,10,0.05970149253731343,0.0,0.018181818181818184,0.3583333333333333,3,0.8573441759124514
208,3,1,-3,-1,-10,10,0.08955223880597014,0.0,0.0,0.32500000000000007,3,0.8569059370751199
209,3,1,-3,0,-10,10,0.3432835820895522,0.5846153846153846,0.07272727272727274,0.17499999999999993,2,0.7238259240510045
210,3,1,-1,-3,-10,10,0.029850746268656716,0.0,0.0,0.4833333333333333,3,0.8027462209981954
211,3,1,-1,-1,-10,10,0.05970149253731343,0.0,0.03636363636363637,0.5083333333333332,3,0.7934244690467407
212,3,1,-1,0,-10,10,0.26865671641791045,0.7538461538461539,0.05454545454545454,0.4,2,0.6276346790242608
213,3,1,0,-3,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.30833333333333324,3,0.8615048194921366
214,3,1,0,-1,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.30833333333333324,3,0.8615048194921366
215,3,1,0,0,-10,10,0.029850746268656716,0.2,0.0,0.05833333333333324,3,0.7148456261332866
216,3,3,-3,-3,-10,10,0.07462686567164178,0.0,0.018181818181818184,0.3583333333333333,3,0.8566004529423654
217,3,3,-3,-1,-10,10,0.07462686567164178,0.0,0.0,0.30833333333333324,3,0.8586436735963274
218,3,3,-3,0,-10,10,0.29850746268656714,0.6923076923076923,0.07272727272727274,0.31666666666666676,2,0.6813165972189624
219,3,3,-1,-3,-10,10,0.029850746268656716,0.0,0.0,0.4833333333333333,3,0.8027462209981954
220,3,3,-1,-1,-10,10,0.05970149253731343,0.0,0.03636363636363637,0.5166666666666665,3,0.7886586015812582
221,3,3,-1,0,-10,10,0.20895522388059698,0.8153846153846154,0.09090909090909091,0.22499999999999998,2,0.633670118670593
222,3,3,0,-3,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.30833333333333324,3,0.8615048194921366
223,3,3,0,-1,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.30833333333333324,3,0.8615048194921366
224,3,3,0,0,-10,10,0.029850746268656716,0.0,0.0,0.1166666666666667,3,0.7930722514855794
